title,source_country,date,url
埃及批以色列對約旦河西岸新法 意圖併吞巴人領土 | 國際,Taiwan,20260211T084500Z,https://www.cna.com.tw:443/news/aopl/202602110217.aspx
埃及批以色列對約旦河西岸新法 意圖併吞巴人領土 | 國際,Taiwan,20260211T084500Z,https://www.cna.com.tw/news/aopl/202602110217.aspx
"Filistinin BM Daimi Temsilcisi Mansur :  Gazze , Filistin yönetimi altında birleştirilmelidir  ",Turkey,20260203T174500Z,https://www.haberler.com/guncel/bm-temsilcisi-mansur-gazze-nin-filistin-yonetimi-altinda-birlestirilmesi-gerekiyor-19534362-haberi/
"BM Genel Sekreteri Guterres :  Gazze , Filistin Devletinin ayrılmaz bir parçasıdır ve öyle kalmalıdır  ",Turkey,20260203T160000Z,http://www.haberler.com/guncel/bm-genel-sekreteri-guterres-gazze-filistin-devleti-nin-ayrilmaz-bir-parcasidir-19534071-haberi/
Kuruc . info - Továbbra sincs béke Palesztinában,Hungary,20260207T203000Z,https://kuruc.info/r/67/298095/
الرئيس محمود عباس يُؤكد أهمية الموقف الدولي حيال القرارات الإسرائيلية في الضفة الغربية,Israel,20260211T190000Z,https://pnn.ps/news/719874
以色列又要打一场仗吗 八国谴责领土扩张 _ 军事频道 _ 中华网,China,20260214T081500Z,https://military.china.com/news/13004177/20260214/49252608.html
Conflit israélo - palestinien - Un Palestinien tué par les forces israéliennes en Cisjordanie,Belgium,20260204T024500Z,https://www.dhnet.be/dernieres-depeches/2026/02/04/conflit-israelo-palestinien-un-palestinien-tue-par-les-forces-israeliennes-en-cisjordanie-ZKA3T3OA5RDH3KP4NYWX65HVDA/
عباس : قرارات إسرائيل في الضفة تتطلب موقفا أمريكيا حاسما,Egypt,20260211T161500Z,https://www.shorouknews.com/news/view.aspx?cdate=11022026&id=58055a83-7a85-4b38-a3be-20345e2a7b0f
Israel kills Palestinian man in Gaza as it deepens West Bank occupation,Israel,20260209T111500Z,https://www.middleeasteye.net/news/israel-kills-palestinians-gaza-cabinet-deepens-west-bank-annexation-measures
"Guterres : Gazze , Filistin Devletinin ayrılmaz bir parç",Cyprus,20260203T190000Z,https://www.detaykibris.com/guterres-gazze-filistin-devletinin-ayrilmaz-bir-parc-355328h.htm
Mısır : Filistin yönetiminin Gazzeye dönüşüne hazırlık için Gazze Yönetimi Ulusal Komitesini destekliyoruz,Turkey,20260211T161500Z,https://www.haberler.com/guncel/misir-gazze-yonetimi-ne-destek-verdi-19558729-haberi/
  İsraillilerin saldırıları Hristiyan beldelerine de uzadı  ,Turkey,20260206T230000Z,https://www.haberturk.com/israillilerin-saldirilari-hristiyan-beldelerine-de-uzadi-3859853
مصطفى يبحث مع الأمين العام للأمم المتحدة مستجدات الأوضاع في فلسطين – تلفزيون الفجر,Israel,20260214T231500Z,https://alfajertv.com/news/palnews/719887.html
"Filistin topraklarını gasbeden İsrailliler , Batı Şeriada düzenledikleri saldırıda 3 Filistinliyi yaraladı",Turkey,20260207T160000Z,https://www.haberler.com/guncel/israil-bati-seria-da-3-filistinliyi-yaraladi-19548341-haberi/
"Filistin topraklarını gasbeden İsrailliler , Batı Şeriada düzenledikleri saldırıda 3 Filistinliyi yaraladı",Turkey,20260207T160000Z,http://www.haberler.com/guncel/israil-bati-seria-da-3-filistinliyi-yaraladi-19548341-haberi/
"Filistin topraklarını gasbeden İsrailliler , Batı Şeriada 81 yaşındaki görme engelli Filistinliyi darbetti",Turkey,20260208T170000Z,https://www.haberler.com/guncel/israil-in-bati-seria-daki-saldirilari-suruyor-81-yasindaki-gorme-engelli-filistinli-darbedildi-19550151-haberi/
"Filistin topraklarını gasbeden İsrailliler , Batı Şeriada 81 yaşındaki görme engelli Filistinliyi darbetti",Turkey,20260208T171500Z,http://www.haberler.com/guncel/israil-in-bati-seria-daki-saldirilari-suruyor-81-yasindaki-gorme-engelli-filistinli-darbedildi-19550151-haberi/
